CATEGORIA;CLASE;SUBCATEGORIA;SUBCATEGORIA2;TIPO DOCUMENTO;LECTURA;ESCRITURA;
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN OBRA (ARQ 8);ESPECIALIDADES;SANITARIO AGUAS LLUVIA;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN OBRA (ARQ 8);ESPECIALIDADES;EXTRACCIÓN DE AIRE;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN OBRA (ARQ 8);ESPECIALIDADES;CALEFACCIÓN;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN OBRA (ARQ 8);ESPECIALIDADES;GAS BAJA PRESIÓN;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN OBRA (ARQ 8);ESPECIALIDADES;GAS MEDIA PRESIÓN;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN OBRA (ARQ 8);ESPECIALIDADES;BASURA-SEREMI;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN OBRA (ARQ 8);ESPECIALIDADES;ASCENSORES;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN OBRA (ARQ 8);ESPECIALIDADES;ESTUDIO LUMÍNICO;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN OBRA (ARQ 8);ESPECIALIDADES;PISCINA-SEREMI;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN OBRA (ARQ 8);ESPECIALIDADES;PAISAJISMO Y RIEGO;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN OBRA (ARQ 8);ESPECIALIDADES;IMPERMEABILIZACIÓN;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN OBRA (ARQ 8);ESPECIALIDADES;LAVANDERÍA EXTERNA;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN OBRA (ARQ 8);ESPECIALIDADES;LIMPIA FACHADA;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN OBRA (ARQ 8);ESPECIALIDADES;PROYECTO AUDIO;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN OBRA (ARQ 8);ESPECIALIDADES URBANIZACIÓN CASAS;ELECTRICO ALUMBRADO-FUERZA;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN OBRA (ARQ 8);ESPECIALIDADES URBANIZACIÓN CASAS;ELECTRICO CD-SEGURIDAD;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN OBRA (ARQ 8);ESPECIALIDADES URBANIZACIÓN CASAS;ELECTRICO TELECOM;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN OBRA (ARQ 8);ESPECIALIDADES URBANIZACIÓN CASAS;SANITARIO AGUA POTABLE;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN OBRA (ARQ 8);ESPECIALIDADES URBANIZACIÓN CASAS;SANITARIO ALCANTARILLADO;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN OBRA (ARQ 8);ESPECIALIDADES URBANIZACIÓN CASAS;SANITARIO AGUAS LLUVIA;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN OBRA (ARQ 8);ESPECIALIDADES URBANIZACIÓN CASAS;GAS MEDIA PRESIÓN;;INMOB, ARQ,TEC,CONS, CLI;ARQ
